LpId,LpTypeId,externalCameraId,x,y,Date,Hour,,,
1024168,1,LPR-HIK-JER-130-1,35.221492,31.860571,12/19/2023,24:07.4,,,No
1004134,4,249_92,35.2519787,31.832347,12/19/2023,17:39.6,,,No
1077013,1,LPR-HIK-JER-38,35.261584,31.783971,12/19/2023,37:48.9,,,No
1077013,1,LPR-HIK-JER-126,35.263757,31.783185,12/19/2023,38:03.6,,,No
1015661,1,LPR-HIK-JER-130-1,35.221492,31.860571,12/19/2023,40:10.6,,,No
1077013,4,136_94,35.289894,31.767723,12/19/2023,42:26.0,,,No
11216701,1,LPR-HIK-JER-71,35.2897828,31.7841793,12/19/2023,47:17.5,,,No
1091539,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,48:44.0,,,No
1155634,1,LPR-HIK-JER-58-2,35.263174,31.783818,12/19/2023,49:28.1,,,No
11248501,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,49:46.7,,,No
11216701,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,50:10.8,,,No
1055532,4,9159_82,35.434536,32.328992,12/19/2023,51:45.7,,,No
10793HI,4,597_91,35.316457,32.119476,12/19/2023,51:56.3,,,No
11248501,1,LPR-HIK-JER-114,35.169831,31.70624,12/19/2023,52:39.1,,,No
10793HI,4,7111_91,35.349665,32.042729,12/19/2023,02:35.6,,,No
1098431,1,LPR-HIK-JER-16,35.191218,31.800925,12/19/2023,04:39.9,,,No
1137074,1,LPR-HIK-MKZ-7,34.998507,32.184376,12/19/2023,06:15.1,,,No
1137074,1,LPR-HIK-MKZ-8,34.99917,32.18477,12/19/2023,06:34.6,,,No
10750501,1,LPR-HIK-JER-51,35.111099,31.718702,12/19/2023,08:40.8,,,No
10750501,1,LPR-HIK-JER-121,35.119739,31.716478,12/19/2023,09:34.9,,,No
11159902,4,63_82,35.0596,32.1837,12/19/2023,11:00.0,,,No
11159902,1,LPR-HIK-SHY-9-2,35.051267,32.182495,12/19/2023,11:41.7,,,No
1024168,1,LPR-HIK-JER-28-1,35.224568,31.853262,12/19/2023,12:56.8,,,No
11329903,1,LPR-HIK-MKZ-57,35.0417981,31.8975318,12/19/2023,13:08.4,,,No
11159902,4,9187_91,35.03019,32.183328,12/19/2023,13:12.8,,,No
1048262,1,LPR-HIK-JER-70,35.289782,31.784179,12/19/2023,14:25.0,,,No
1048262,1,LPR-HIK-JER-159,35.263855,31.783369,12/19/2023,17:07.7,,,No
11464501,1,LPR-HIK-JER-3,35.191073,31.72583,12/19/2023,18:26.9,,,No
1002939,4,4140_82,35.445775,32.022748,12/19/2023,01:21.7,,,No
1139539,1,LPR-HIK-MKZ-252,35.00765,32.10786,12/19/2023,21:43.3,,,No
1002939,1,LPR-HIK-SHY-22-1,35.463311,32.046753,12/19/2023,03:34.1,,,No
1002939,4,9902_03,35.463069,31.908981,12/19/2023,03:45.1,,,No
11464501,1,LPR-HIK-JER-114,35.169831,31.70624,12/19/2023,22:09.2,,,No
1002939,4,9911_02,35.470212,32.054765,12/19/2023,04:38.2,,,No
1059388,1,LPR-HIK-JER-32-1,35.216183,31.860145,12/19/2023,24:11.0,,,No
11177501,1,LPR-HIK-JER-11,35.232735,31.723975,12/19/2023,24:48.4,,,No
1091539,1,LPR-HIK-JER-130-2,35.221492,31.860571,12/19/2023,24:59.7,,,No
