IshitId,ExternalCameraId,cameraType,Source,Name,IsDeleted,LastUpdateDate,folderName,siteName,brigadeName,x,y
9387,120_91,LPR,נתיקות - הרכשה,מציר שחפים לכיוון נבי אליאס (5 מגה)(נתיקות),0,2023-09-12 15:00:22.525,נבי אליאס מערב 1,"נבי אליאס מערב ",חטמר אפרים,35.0113413245008,32.186831611244
12569,634_91,LPR,נתיקות - הרכשה,ציר 465 - שני הכיוונים (5 מגה) (נתיקות),0,2023-11-01 16:10:36.043,מצלמות נתיקות,נווה יאיר,חטמר אפרים,35.101784,32.007807
13060,1155_91,LPR,נתיקות - הרכשה,נכנסים ויוצאים מנעלין (PTZ LPR) (נתיקות),0,2024-05-28 09:30:49.918,"מצלמות נתיקות ","פילבוקס 418 ",חטמר אפרים,35.03172,31.944966
11645,45_92,LPR,נתיקות - הרכשה,יציאה מכפר נעמה (9 מגה)(נתיקות),0,2023-06-27 10:11:55.953,"מצלמות נתיקות ","פילבוקס ראס כרכר ",חטמר אפרים,35.1010974,31.941819
11646,45_91,LPR,נתיקות - הרכשה,מצפון לדרום (9 מגה)(נתיקות),0,2023-06-27 10:11:59.821,"מצלמות נתיקות ","פילבוקס ראס כרכר ",חטמר אפרים,35.10116,31.941871
11398,LPR-HIK-SHY-17-1,LPR,משטרה - הרכשה,צ. דיר בלוט כ. 446 למזרח מ-י,0,2023-10-25 10:48:47.910,עין הנץ,צ. דיר בלוט כ. 446,חטמר אפרים,35.040916,32.06383
11399,LPR-HIK-SHY-17-2,LPR,משטרה - הרכשה,צ. דיר בלוט כ. 446 למערב מ-י,0,2023-10-25 10:48:58.428,עין הנץ,צ. דיר בלוט כ. 446,חטמר אפרים,35.040916,32.06383
4441,Site53SouthFront1,LPR,HTS - הרכשה,כניסה ויציאה מהכפר עין איוב1,0,2023-05-08 13:21:24.475,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0939942819993,31.948062217153
4440,Site53NorthRear1,LPR,HTS - הרכשה,כניסה ויציאה מהכפר עין איוב2,0,2023-05-08 13:21:17.422,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0939514517012,31.948033663621
4439,Site53EastRear1,LPR,HTS - הרכשה,מהצומת לכיוון נעלה (מערבה),0,2023-05-08 13:21:48.024,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0931471938812,31.9483049221756
4444,Site53SouthFront2,LPR,HTS - הרכשה,מהצומת לכיוון ראס כרכר (מערבה),0,2023-05-08 13:20:54.599,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0945653526407,31.9477576461443
4442,Site53WestFront1,LPR,HTS - הרכשה,מנעלה לצומת (מזרחה),0,2023-05-08 13:21:54.947,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0931376760372,31.9483191989416
4443,Site53NorthRear2,LPR,HTS - הרכשה,מראס כרכר לכיוון הצומת (מזרחה),0,2023-05-08 13:20:47.356,"מצלמות זיהוי לוחית רישוי צומת הדואר ","צ. הדואר ",חטמר אפרים,35.0946081829388,31.9478195121304
12437,LPR-HIK-SHY-23-1,LPR,משטרה - הרכשה,"צ. מעלה ישראל, כ. 505, למזרח",0,2023-11-13 10:22:54.298,עין הנץ,צ. מעלה ישראל,חטמר אפרים,35.10453,32.117196
