LpId,LpTypeId,externalCameraId,x,y,Date,Hour
1091539,1,LPR-HIK-JER-127,35.227695,31.862105,2023-12-19,12:25:59.240
11177501,1,LPR-HIK-JER-124,35.246901,31.714872,2023-12-19,12:26:54.828
11464501,4,86_901,35.15813,31.68419,2023-12-19,12:27:57.611
1002939,1,LPR-HIK-SHY-24,35.510835,32.12651,2023-12-19,18:11:15.298
1028237,4,5119_81,35.273613,32.025231,2023-12-19,18:12:22.394
11177501,1,Site102212SouthRear,35.2482452211633,31.704015178551,2023-12-19,12:28:28.795
1026167,1,LPR-HIK-SHY-6,34.997738,32.187774,2023-12-19,12:29:05.293
11464702,1,LPR-HIK-JER-51,35.111099,31.718702,2023-12-19,12:31:35.935
1059388,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,12:32:18.776
11464702,1,LPR-HIK-JER-121,35.119739,31.716478,2023-12-19,12:32:35.008
11464702,4,25_91,35.155511,31.705935,2023-12-19,12:37:31.755
11464702,4,30_901,35.157733,31.704161,2023-12-19,12:38:29.902
10979903,4,148_92,35.142033,31.651754,2023-12-19,12:38:43.110
1022172,1,LPR-HIK-JER-129,35.227696,31.862571,2023-12-19,12:40:07.750
11464501,4,7112_91,35.116222,31.65517,2023-12-19,12:41:15.437
1048262,1,LPR-HIK-JER-126,35.263757,31.783185,2023-12-19,12:42:20.353
1039179,2,Site101061NorthRear,35.2373092183805,31.6684422365139,2023-12-19,12:43:17.313
1039179,4,1012_901,35.23772,31.66885,2023-12-19,12:43:25.356
11177501,1,Site102202NorthRear,35.248518859179,31.7036439826341,2023-12-19,12:43:36.664
11177501,1,LPR-HIK-JER-9,35.247637,31.712889,2023-12-19,12:44:33.321
11177501,1,LPR-HIK-JER-123,35.246901,31.714872,2023-12-19,12:45:03.732
11612103,4,0639_91,35.2378992,31.9184311,2023-12-19,12:47:35.577
1039179,1,Site102202NorthRear,35.248518859179,31.7036439826341,2023-12-19,12:47:48.657
11612103,1,Site2-35162SouthRear,31.910757,35.250696,2023-12-19,12:48:17.467
1039179,1,LPR-HIK-JER-9,35.247637,31.712889,2023-12-19,12:48:44.532
1051676,1,Site46611WestFront2,35.255702,31.854076,2023-12-19,12:50:34.792
1022172,1,LPR-HIK-JER-130-1,35.221492,31.860571,2023-12-19,12:50:55.724
1039179,1,LPR-HIK-JER-123,35.246901,31.714872,2023-12-19,12:51:55.524
11090503,1,Site9EastFront3,35.1154248975483,31.6548222017165,2023-12-19,12:52:08.273
11090503,4,9229_91,35.115611,31.654964,2023-12-19,12:52:23.440
1161160,1,Site101061NorthRear,35.2373092183805,31.6684422365139,2023-12-19,12:52:59.396
1161160,4,1012_901,35.23772,31.66885,2023-12-19,12:53:10.044
1161160,1,Site101121EastRear,35.2380516102143,31.6689895125452,2023-12-19,12:53:15.077
1098431,1,LPR-HIK-JER-13,35.19439,31.80083,2023-12-19,12:54:50.360
10995803,1,LPR-HIK-JER-16,35.191218,31.800925,2023-12-19,12:55:51.834
1161160,1,Site102202NorthRear,35.248518859179,31.7036439826341,2023-12-19,12:57:19.788
11090503,1,GUSHLPR7,35.1314446187701,31.6465916460973,2023-12-19,12:57:22.356
11090503,4,161_91,35.141773,31.651222,2023-12-19,12:57:55.173
1060356,4,525_91,35.1322229,31.5193898,2023-12-19,12:58:10.933
1161160,1,LPR-HIK-JER-9,35.247637,31.712889,2023-12-19,12:58:12.846
